TIMES,G_CONCS,TIMES,G_CONCS,TIMES,G_CONCS,TIMES,G_CONCS,TIMES,G_CONCS,TIMES,G_CONCS,TIMES,G_CONCS,TIMES,G_CONCS,TIMES,G_CONCS,TIMES,G_CONCS
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.709611e-01,7.999477e-05,3.552817e-01,7.999605e-05,4.190688e-01,7.999534e-05,1.845280e+00,7.997950e-05,6.345749e-01,7.999295e-05,7.609161e-01,7.999155e-05,2.392313e+00,7.997343e-05,2.983434e-01,7.999669e-05,5.544322e-01,7.999384e-05,5.577850e-01,7.999380e-05
2.825767e+00,4.798117e-04,2.131690e+00,4.798580e-04,2.514413e+00,4.798325e-04,1.107168e+01,4.792629e-04,3.807449e+00,4.797464e-04,4.565497e+00,4.796959e-04,1.435388e+01,4.790447e-04,1.790061e+00,4.798807e-04,3.326593e+00,4.797784e-04,3.346710e+00,4.797770e-04
1.459979e+01,2.474988e-03,1.101373e+01,2.476218e-03,1.299113e+01,2.475540e-03,5.720370e+01,2.460439e-03,1.967182e+01,2.473250e-03,2.358840e+01,2.471909e-03,7.416171e+01,2.454680e-03,9.248646e+00,2.476823e-03,1.718740e+01,2.474101e-03,1.729133e+01,2.474065e-03
7.346994e+01,1.235476e-02,5.542395e+01,1.238537e-02,6.537473e+01,1.236848e-02,2.878638e+02,1.199878e-02,9.899369e+01,1.231164e-02,1.187029e+02,1.227849e-02,3.392856e+02,1.083217e-02,4.654158e+01,1.240047e-02,8.649142e+01,1.233274e-02,8.701446e+01,1.233186e-02
2.870456e+02,4.693627e-02,2.383878e+02,5.201165e-02,2.658382e+02,4.899093e-02,7.031121e+02,2.775151e-02,3.488958e+02,4.198921e-02,3.927546e+02,3.918737e-02,7.885658e+02,2.373194e-02,2.123045e+02,5.535508e-02,3.194366e+02,4.417576e-02,3.206988e+02,4.407624e-02
6.326678e+02,9.924383e-02,5.431853e+02,1.143151e-01,5.941806e+02,1.052907e-01,1.285475e+03,4.718451e-02,7.408949e+02,8.501148e-02,8.144754e+02,7.717240e-02,1.408336e+03,3.921774e-02,4.933895e+02,1.244802e-01,6.900503e+02,9.124295e-02,6.922541e+02,9.095723e-02
1.107025e+03,1.651764e-01,9.645656e+02,1.945103e-01,1.046260e+03,1.768963e-01,2.040321e+03,6.857428e-02,1.273876e+03,1.379009e-01,1.384065e+03,1.230983e-01,2.203987e+03,5.587483e-02,8.834920e+02,2.145068e-01,1.196218e+03,1.497852e-01,1.199611e+03,1.492382e-01
1.720493e+03,2.431564e-01,1.509101e+03,2.911786e-01,1.630888e+03,2.622947e-01,2.987207e+03,9.062800e-02,1.961850e+03,1.989524e-01,2.117336e+03,1.752287e-01,3.194440e+03,7.262469e-02,1.386880e+03,3.241071e-01,1.850392e+03,2.181458e-01,1.855293e+03,2.172599e-01
2.490114e+03,3.336360e-01,2.186260e+03,4.056120e-01,2.361966e+03,3.622838e-01,4.158152e+03,1.123262e-01,2.829106e+03,2.678240e-01,3.041939e+03,2.328502e-01,4.410688e+03,8.861963e-02,2.008623e+03,4.550822e-01,2.673784e+03,2.963201e-01,2.680660e+03,2.950018e-01
3.429649e+03,4.391320e-01,2.994686e+03,5.415611e-01,3.246695e+03,4.799250e-01,5.598955e+03,1.328460e-01,3.905543e+03,3.455782e-01,4.195387e+03,2.962454e-01,5.897508e+03,1.031971e-01,2.739896e+03,6.117922e-01,3.689329e+03,3.860232e-01,3.698974e+03,3.841491e-01
4.526868e+03,5.641135e-01,3.898677e+03,7.041769e-01,4.261333e+03,6.200730e-01,7.373043e+03,1.515235e-01,5.214294e+03,4.349903e-01,5.619955e+03,3.669306e-01,7.718464e+03,1.158643e-01,3.538004e+03,7.995134e-01,4.903815e+03,4.909053e-01,4.917759e+03,4.883161e-01
5.707652e+03,7.134149e-01,4.815307e+03,8.975840e-01,5.323742e+03,7.872572e-01,9.568829e+03,1.678387e-01,6.736496e+03,5.405899e-01,7.343095e+03,4.480680e-01,9.966708e+03,1.262994e-01,4.327237e+03,1.022271e+00,6.267580e+03,6.159206e-01,6.288553e+03,6.124496e-01
6.841654e+03,8.898554e-01,5.656500e+03,1.124940e+00,6.320058e+03,9.841343e-01,1.231393e+04,1.814199e-01,8.352284e+03,6.669837e-01,9.319478e+03,5.444141e-01,1.278963e+04,1.343626e-01,5.043149e+03,1.284548e+00,7.641501e+03,7.647731e-01,7.672470e+03,7.602957e-01
7.830777e+03,1.096166e+00,6.382789e+03,1.392557e+00,7.182234e+03,1.214711e+00,1.580607e+04,1.920643e-01,9.859586e+03,8.162817e-01,1.134840e+04,6.601071e-01,1.645598e+04,1.401082e-01,5.664229e+03,1.595624e+00,8.871047e+03,9.392289e-01,8.912691e+03,9.336106e-01
8.654952e+03,1.338905e+00,6.998666e+03,1.712464e+00,7.904675e+03,1.487659e+00,2.039541e+04,1.997736e-01,1.112879e+04,9.904436e-01,1.315516e+04,7.964597e-01,2.161839e+04,1.438039e-01,6.199559e+03,1.971896e+00,9.894619e+03,1.143127e+00,9.945361e+03,1.136139e+00
9.337226e+03,1.629405e+00,7.526132e+03,2.103564e+00,8.510655e+03,1.817045e+00,2.689955e+04,2.048096e-01,1.215295e+04,1.194914e+00,1.430631e+04,9.160793e-01,2.799713e+04,1.453744e-01,6.669892e+03,2.439433e+00,1.072848e+04,1.384493e+00,1.078620e+04,1.375791e+00
9.910402e+03,1.984284e+00,7.991052e+03,2.595145e+00,9.029273e+03,2.223731e+00,3.565247e+04,2.071504e-01,1.297717e+04,1.438865e+00,1.545746e+04,1.084081e+00,3.437586e+04,1.457736e-01,7.100301e+03,3.041721e+00,1.141237e+04,1.675465e+00,1.147521e+04,1.664560e+00
1.040578e+04,2.428132e+00,8.421341e+03,3.237252e+00,9.489073e+03,2.740193e+00,4.440539e+04,2.076542e-01,1.365081e+04,1.735114e+00,1.642344e+04,1.293911e+00,4.645880e+04,1.459844e-01,7.523329e+03,3.863788e+00,1.198508e+04,2.033146e+00,1.205158e+04,2.019330e+00
1.085293e+04,3.000859e+00,8.854408e+03,4.133621e+00,9.920122e+03,3.423777e+00,6.240085e+04,2.079376e-01,1.421538e+04,2.101543e+00,1.720372e+04,1.549405e+00,5.854173e+04,1.458717e-01,8.004890e+03,5.139009e+00,1.248012e+04,2.482830e+00,1.254906e+04,2.464994e+00
1.128531e+04,3.778375e+00,9.381057e+03,5.615783e+00,1.036550e+04,4.401210e+00,8.039630e+04,2.076533e-01,1.470517e+04,2.564898e+00,1.784397e+04,1.863489e+00,7.767287e+04,1.460430e-01,8.369971e+03,6.338615e+00,1.292816e+04,3.066019e+00,1.299837e+04,3.042207e+00
1.176210e+04,4.955758e+00,9.917127e+03,7.497242e+00,1.095752e+04,6.166054e+00,1.009752e+05,2.080385e-01,1.515158e+04,3.169978e+00,1.838474e+04,2.255998e+00,9.021133e+04,1.458269e-01,8.735052e+03,7.683753e+00,1.336410e+04,3.863085e+00,1.343406e+04,3.829107e+00
